title,release_date,rating,url,total_gross,genre,budget
After the Thin Man,2020-06-01,NC-17,https://slideshare.net/mollis/molestie/lorem.json?amet=habitasse&eleifend=platea&pede=dictumst&libero=etiam&quis=faucibus&orci=cursus&nullam=urna&molestie=ut&nibh=tellus&in=nulla&lectus=ut&pellentesque=erat&at=id&nulla=mauris&suspendisse=vulputate&potenti=elementum&cras=nullam&in=varius&purus=nulla&eu=facilisi&magna=cras&vulputate=non&luctus=velit&cum=nec&sociis=nisi&natoque=vulputate,3673218,Comedy|Crime|Mystery|Romance,7115410
"Steamroller and the Violin, The (Katok i skripka)",2020-05-14,PG-13,http://istockphoto.com/morbi/ut/odio/cras/mi.html?consequat=eros&lectus=elementum&in=pellentesque&est=quisque,1309054,Drama,2567572
"Awfully Big Adventure, An",2020-03-20,NC-17,http://cyberchimps.com/odio/porttitor/id/consequat.png?lacinia=consectetuer&aenean=eget&sit=rutrum&amet=at&justo=lorem&morbi=integer&ut=tincidunt&odio=ante&cras=vel&mi=ipsum&pede=praesent&malesuada=blandit&in=lacinia&imperdiet=erat&et=vestibulum&commodo=sed&vulputate=magna&justo=at&in=nunc&blandit=commodo&ultrices=placerat&enim=praesent&lorem=blandit&ipsum=nam&dolor=nulla&sit=integer&amet=pede&consectetuer=justo&adipiscing=lacinia&elit=eget&proin=tincidunt&interdum=eget&mauris=tempus&non=vel&ligula=pede&pellentesque=morbi&ultrices=porttitor&phasellus=lorem&id=id&sapien=ligula&in=suspendisse&sapien=ornare&iaculis=consequat&congue=lectus&vivamus=in&metus=est&arcu=risus,7967304,Drama,6801044
Alien Nation: The Enemy Within,2020-04-16,PG-13,https://lycos.com/in/faucibus/orci/luctus.xml?quam=ante&pede=ipsum&lobortis=primis&ligula=in&sit=faucibus&amet=orci&eleifend=luctus&pede=et&libero=ultrices&quis=posuere&orci=cubilia&nullam=curae&molestie=duis&nibh=faucibus&in=accumsan&lectus=odio&pellentesque=curabitur&at=convallis&nulla=duis&suspendisse=consequat&potenti=dui&cras=nec&in=nisi&purus=volutpat&eu=eleifend&magna=donec&vulputate=ut&luctus=dolor&cum=morbi&sociis=vel&natoque=lectus&penatibus=in&et=quam&magnis=fringilla&dis=rhoncus&parturient=mauris&montes=enim&nascetur=leo&ridiculus=rhoncus&mus=sed&vivamus=vestibulum&vestibulum=sit&sagittis=amet&sapien=cursus&cum=id&sociis=turpis&natoque=integer&penatibus=aliquet&et=massa&magnis=id&dis=lobortis&parturient=convallis&montes=tortor&nascetur=risus&ridiculus=dapibus&mus=augue&etiam=vel&vel=accumsan&augue=tellus&vestibulum=nisi&rutrum=eu&rutrum=orci&neque=mauris&aenean=lacinia&auctor=sapien&gravida=quis&sem=libero&praesent=nullam&id=sit&massa=amet&id=turpis&nisl=elementum&venenatis=ligula&lacinia=vehicula&aenean=consequat&sit=morbi&amet=a&justo=ipsum&morbi=integer&ut=a&odio=nibh&cras=in&mi=quis,1801056,Sci-Fi,9843601
"Ghost and the Darkness, The",2020-04-07,PG,http://163.com/pulvinar/nulla/pede/ullamcorper.xml?nunc=tortor&purus=quis&phasellus=turpis&in=sed&felis=ante&donec=vivamus&semper=tortor&sapien=duis&a=mattis&libero=egestas&nam=metus&dui=aenean&proin=fermentum&leo=donec&odio=ut&porttitor=mauris&id=eget&consequat=massa&in=tempor&consequat=convallis&ut=nulla&nulla=neque&sed=libero&accumsan=convallis&felis=eget&ut=eleifend&at=luctus&dolor=ultricies&quis=eu&odio=nibh&consequat=quisque&varius=id&integer=justo&ac=sit&leo=amet&pellentesque=sapien&ultrices=dignissim&mattis=vestibulum&odio=vestibulum&donec=ante&vitae=ipsum&nisi=primis&nam=in&ultrices=faucibus&libero=orci&non=luctus&mattis=et&pulvinar=ultrices&nulla=posuere&pede=cubilia&ullamcorper=curae&augue=nulla&a=dapibus&suscipit=dolor,1877223,Action|Adventure,4615696
Young Man with a Horn,2019-08-14,NC-17,https://walmart.com/integer/a.xml?sed=sed&lacus=vestibulum&morbi=sit&sem=amet&mauris=cursus&laoreet=id&ut=turpis&rhoncus=integer&aliquet=aliquet&pulvinar=massa&sed=id&nisl=lobortis&nunc=convallis&rhoncus=tortor&dui=risus&vel=dapibus&sem=augue&sed=vel&sagittis=accumsan&nam=tellus&congue=nisi&risus=eu&semper=orci&porta=mauris&volutpat=lacinia&quam=sapien&pede=quis&lobortis=libero&ligula=nullam&sit=sit&amet=amet&eleifend=turpis&pede=elementum&libero=ligula&quis=vehicula&orci=consequat&nullam=morbi&molestie=a&nibh=ipsum&in=integer&lectus=a&pellentesque=nibh&at=in&nulla=quis&suspendisse=justo&potenti=maecenas&cras=rhoncus&in=aliquam&purus=lacus&eu=morbi&magna=quis&vulputate=tortor&luctus=id&cum=nulla&sociis=ultrices&natoque=aliquet&penatibus=maecenas&et=leo&magnis=odio&dis=condimentum&parturient=id&montes=luctus&nascetur=nec&ridiculus=molestie&mus=sed&vivamus=justo&vestibulum=pellentesque&sagittis=viverra&sapien=pede&cum=ac&sociis=diam,8400697,Drama|Musical|Romance,5545578
Snakes on a Plane,2019-08-22,NC-17,http://google.com.hk/vel/augue/vestibulum/ante/ipsum/primis.json?proin=volutpat&eu=convallis&mi=morbi&nulla=odio&ac=odio&enim=elementum&in=eu&tempor=interdum&turpis=eu&nec=tincidunt&euismod=in&scelerisque=leo&quam=maecenas&turpis=pulvinar&adipiscing=lobortis&lorem=est&vitae=phasellus,4427783,Action|Comedy|Horror|Thriller,2751643
Fast Food Nation,2019-09-18,R,https://csmonitor.com/vel/nulla/eget/eros.html?cras=gravida&non=nisi&velit=at&nec=nibh&nisi=in&vulputate=hac&nonummy=habitasse&maecenas=platea&tincidunt=dictumst&lacus=aliquam&at=augue&velit=quam&vivamus=sollicitudin&vel=vitae&nulla=consectetuer&eget=eget&eros=rutrum&elementum=at&pellentesque=lorem&quisque=integer&porta=tincidunt&volutpat=ante&erat=vel&quisque=ipsum&erat=praesent&eros=blandit&viverra=lacinia&eget=erat&congue=vestibulum&eget=sed&semper=magna&rutrum=at&nulla=nunc&nunc=commodo&purus=placerat&phasellus=praesent&in=blandit&felis=nam&donec=nulla&semper=integer&sapien=pede&a=justo&libero=lacinia&nam=eget&dui=tincidunt&proin=eget&leo=tempus&odio=vel&porttitor=pede&id=morbi&consequat=porttitor&in=lorem&consequat=id&ut=ligula&nulla=suspendisse&sed=ornare&accumsan=consequat&felis=lectus&ut=in&at=est,8771141,Drama,2293383
Particle Fever,2019-07-29,PG-13,https://devhub.com/ipsum/primis/in/faucibus/orci/luctus/et.jsp?eu=vestibulum&orci=ac&mauris=est&lacinia=lacinia&sapien=nisi&quis=venenatis&libero=tristique&nullam=fusce&sit=congue&amet=diam,8161326,Documentary,4569222
"God Who Wasn't There, The",2020-02-22,NC-17,http://smugmug.com/nec/euismod/scelerisque/quam.json?turpis=in&enim=faucibus&blandit=orci&mi=luctus&in=et&porttitor=ultrices&pede=posuere&justo=cubilia&eu=curae&massa=nulla&donec=dapibus&dapibus=dolor&duis=vel&at=est&velit=donec&eu=odio&est=justo&congue=sollicitudin&elementum=ut&in=suscipit&hac=a&habitasse=feugiat&platea=et&dictumst=eros&morbi=vestibulum&vestibulum=ac&velit=est&id=lacinia&pretium=nisi&iaculis=venenatis&diam=tristique&erat=fusce&fermentum=congue&justo=diam&nec=id&condimentum=ornare&neque=imperdiet&sapien=sapien&placerat=urna&ante=pretium&nulla=nisl&justo=ut&aliquam=volutpat&quis=sapien&turpis=arcu&eget=sed&elit=augue&sodales=aliquam&scelerisque=erat&mauris=volutpat&sit=in&amet=congue&eros=etiam&suspendisse=justo&accumsan=etiam&tortor=pretium&quis=iaculis&turpis=justo&sed=in&ante=hac&vivamus=habitasse&tortor=platea&duis=dictumst&mattis=etiam&egestas=faucibus&metus=cursus&aenean=urna&fermentum=ut&donec=tellus&ut=nulla&mauris=ut&eget=erat&massa=id&tempor=mauris&convallis=vulputate&nulla=elementum,1550148,Documentary,1777382
