,title,release_date,genres,mpaa,budget_cost,total_gross,runtime,release_month,release_year,world_gross,domestic_gross,month_year,genre_1
0,Finding Dory,"Jun 17, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,,"{'domestic_gross': 486295561, 'worldwide_gross': 1028570889}",1 hr 37 min,Jun,2016,1028570889,486295561,Jun 2016,Adventure
1,Rogue One: A Star Wars Story,"Dec 16, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,200000000.0,"{'domestic_gross': 532177324, 'worldwide_gross': 1056057273}",2 hr 13 min,Dec,2016,1056057273,532177324,Dec 2016,Action
2,Captain America: Civil War,"May 6, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,250000000.0,"{'domestic_gross': 408084349, 'worldwide_gross': 1153296293}",2 hr 27 min,May,2016,1153296293,408084349,May 2016,Action
3,The Secret Life of Pets,"Jul 8, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,75000000.0,"{'domestic_gross': 368384330, 'worldwide_gross': 875457937}",1 hr 27 min,Jul,2016,875457937,368384330,Jul 2016,Adventure
4,The Jungle Book,"Apr 15, 2016","['Adventure', 'Drama', 'Family', 'Fantasy']",PG,175000000.0,"{'domestic_gross': 364001123, 'worldwide_gross': 966550600}",1 hr 46 min,Apr,2016,966550600,364001123,Apr 2016,Adventure
5,Deadpool,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",R,58000000.0,"{'domestic_gross': 363070709, 'worldwide_gross': 782612155}",1 hr 48 min,Feb,2016,782612155,363070709,Feb 2016,Action
6,Zootopia,"Mar 4, 2016","['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",PG,,"{'domestic_gross': 341268248, 'worldwide_gross': 1023784195}",1 hr 48 min,Mar,2016,1023784195,341268248,Mar 2016,Adventure
7,Batman v Superman: Dawn of Justice,"Mar 25, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,250000000.0,"{'domestic_gross': 330360194, 'worldwide_gross': 873634919}",2 hr 32 min,Mar,2016,873634919,330360194,Mar 2016,Action
8,Suicide Squad,"Aug 5, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,175000000.0,"{'domestic_gross': 325100054, 'worldwide_gross': 746846894}",2 hr 3 min,Aug,2016,746846894,325100054,Aug 2016,Action
9,Star Wars: Episode VII - The Force Awakens,"Dec 18, 2015","['Action', 'Adventure', 'Sci-Fi']",PG-13,245000000.0,"{'domestic_gross': 936662225, 'worldwide_gross': 2068223624}",2 hr 18 min,Dec,2015,2068223624,936662225,Dec 2015,Action
