,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
0,Finding Dory,"Jun 17, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,,"{'domestic_gross': 486295561, 'worldwide_gross': 1028570889}",1 hr 37 min
1,Rogue One: A Star Wars Story,"Dec 16, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$200,000,000","{'domestic_gross': 532177324, 'worldwide_gross': 1056057273}",2 hr 13 min
2,Captain America: Civil War,"May 6, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$250,000,000","{'domestic_gross': 408084349, 'worldwide_gross': 1153296293}",2 hr 27 min
3,The Secret Life of Pets,"Jul 8, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,"$75,000,000","{'domestic_gross': 368384330, 'worldwide_gross': 875457937}",1 hr 27 min
4,The Jungle Book,"Apr 15, 2016","['Adventure', 'Drama', 'Family', 'Fantasy']",PG,"$175,000,000","{'domestic_gross': 364001123, 'worldwide_gross': 966550600}",1 hr 46 min
5,Deadpool,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",R,"$58,000,000","{'domestic_gross': 363070709, 'worldwide_gross': 782612155}",1 hr 48 min
6,Zootopia,"Mar 4, 2016","['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",PG,,"{'domestic_gross': 341268248, 'worldwide_gross': 1023784195}",1 hr 48 min
7,Batman v Superman: Dawn of Justice,"Mar 25, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$250,000,000","{'domestic_gross': 330360194, 'worldwide_gross': 873634919}",2 hr 32 min
8,Suicide Squad,"Aug 5, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,"$175,000,000","{'domestic_gross': 325100054, 'worldwide_gross': 746846894}",2 hr 3 min
9,Star Wars: Episode VII - The Force Awakens,"Dec 18, 2015","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$245,000,000","{'domestic_gross': 936662225, 'worldwide_gross': 2068223624}",2 hr 18 min
10,Doctor Strange,"Nov 4, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,"$165,000,000","{'domestic_gross': 232641920, 'worldwide_gross': 677718395}",1 hr 55 min
11,Fantastic Beasts and Where to Find Them,"Nov 18, 2016","['Adventure', 'Family', 'Fantasy']",PG-13,"$180,000,000","{'domestic_gross': 234037575, 'worldwide_gross': 814037575}",2 hr 12 min
